,description
506,"Vintage Analog Delay Effects Pedal

"
507,"The MXR Carbon Copy Analog Delay features a completely analog audio path for the ultimate in rich, warm delay - made possible only by old-school bucket brigade technology. This design boasts an amazing 600ms of delay time with optional modulation via a top-mounted switch and a simple, three-knob layout that controls Delay time, Mix (dry/wet blend), and Regen (delay repeats) - all in a pedal no bigger than a Phase 90. In addition, two internal trim pots offer user-adjustable width and rate control of the modulation for even more tonal options. The Carbon Copy will take you from crisp ""bathroom"" slap echoes to epic, Gilmour-esque delays with a twist of a knob. True hardwire bypass, single 9-volt operation, and stage-ready blue LEDs round out the package. Available only from Dunlop Manufacturing, the world's leader in analog pedal technology.

"
508,"

Ultimate Reverb Modeling Effects Pedal

From sopping-wet spring reverb to state-of-the-art echo, the complete evolution of this timeless, haunting effect awaits you in the BEHRINGER Reverb Machine RV600.

Reverb emulates the natural echo that occurs because of an environment's acoustics. Think of how your guitar would sound if you plucked a note while standing in a big empty gymnasium - the RV400 can produce that sound, even if you're playing in your bedroom!

The RV600 contains BEHRINGER's Real Sound Modeling (RSM) processor and DSP technology, giving it the incredible power to make your guitar sound like you're playing in a cave, a cathedral, or even the outer reaches of the cosmos. With this pedal, putting studio-caliber sound in your signal chain is easier than ever before.

Just twist the dedicated dial to select dead-on modeling of Ducking, Space, Cave, Tile, Echo, vintage '63 Spring, Spring, Plate, Room, Chamber and Hall reverbs. Tweak the dedicated Mix, Decay, Time and Tone controls along with the Trails On/Off switch to create reverb that is resonant, abrupt, or just plain otherworldly! The brilliant blue LED tells you when it's working while the top-quality on/off switch preserves the signal integrity in bypass mode. You can power this stomp box with a 9 V battery or a DC power supply (not included).

Why settle for one species of reverb? Plug into the RV600 and bring the whole evolutionary tract along for the ride.



"
509,"

Ultimate Echo Modeling Effects Pedal

Delay comes in many different flavors. The BEHRINGER EM600 gives you access to a vast palette of delays all in one amazing stomp box.

Delay is a synthetic echo that, in adjustable increments, repeats the notes you play on guitar. Each repeated tone becomes quieter than the previous one, until the repeats are no longer heard. This results in a thick, robust sound that can take on everything from the quick ""engines"" echo of classic rockabilly to the long, dreamy echoes found in psychedelic rock.

The Echo Machine is essentially 11 delays in one pedal: Ping Pong, Reverse, two different multi-delays, Tracking, Sweep, Swirl, Slap and three different tap modes. BEHRINGER Real Sound Modeling technology gives this pedal the ability to emulate the acoustics of a variety of environments. Produce realistic cathedral-like echo in your bedroom or cave-like echo at the corner bar. Real Sound Modeling makes it possible!

You can choose to give the effect a digital, analog or tape delay feel via a dedicated switch. You can also choose to put lush, psychedelic tails behind every note you play, or a more abrupt delay that fades quickly. Sculpt it into a truly unique delay by twisting the dedicated Mix, Time, Repeat and Modulation dials. There's even a Tap function that allows you to dial in the delay tempo by rhythmically tapping the footswitch. You can power this stompbox with a 9 V battery or a DC Power Supply (not included).

If you're gonzo for echo, the EM600 has the sonic palette to keep you delayed again and again.



"
510,"Made with durable black Cordura, the UB-T Tenor Ukulele Gig Bag from Kala provides excellent protection. Great value adds have been included such as the 12mm padding and the handy accessory pocket. An adjustable strap for comfort tops of the features for this bag. Get yours today; with the Sam Ash Direct 45/60day return/ price protection policy, we assure the best price and a fast, free delivery.

"
511,"The next step in compact delay even with the best-selling delays in compact-pedal history, BOSS continues to push the envelope and innovate. The new DD-7 takes the best features from its predecessor and expands the creative potential with modulation delay mode, classic modeled analog delay mode, external pedal control options, longer delay time, and more.

"
512,"20 gauge instrument wire and Neutrik nickel 1/4"" plugs. The CBI GA1 Instrument Cable is a member of their Performance Series, representing excellent value. Each cable uses 20 gauge instrument wire and Neutrik nickel ¼"" plugs to insure sound quality and durability. They are barrel reinforced for added strength.

"
513,"The Hennessey strap lock allows for easy removal of your strap and for a secure connection every time with its safe and easy compress and release action system! Constructed from solid brass, These strap locks are strong and reliable. Push your axe in any direction and your strap will always remain locked on to your guitar, so jump, swing your guitar, and be alive On Stage! .

"
514,"Premium high gain Twin Triode with ultra-low microphonic. Improved reissue of the Vintage NOS Tung Sol 12AX7

"
515,"Small footprint to avoid tripping hazards on small stages. This round base microphone stand comes with a metal clutch and die-cast iron base. It is height-adjustable from 2.8 to 5.1 ft.

"
516,"The triple version of our new hang-it! Guitar stands is designed to hang most guitars and basses by their headstock, while a back bumper positions The body. The tripod base provides stability when holding either 1, 2 or 3 guitars and folds for guitarists on the go. Features EVA rubber on all contact surfaces.

"
517,"Get your amp off the ground and tilted back for better projection. Black powder-coated metal construction with rubber feet. Adjustable at three heights from the floor to the bottom back corner of the amp: 14-1/4"", 17"" and 19-1/2"". Locking pins add extra security.

"
518,"Designed to give guitarists and keyboard players the ultimate in comfort and flexibility, the DT8500 features a faux-leather padded seat and backrest for comfort and spotlight-ready optics. Braced legs support and anchor up to 240 pounds, while the included footrest gives guitarists an ergonomically convenient leg-up. Quick to setup and tear down, it's the ideal solution for the gigging musician and a handy addition to any studio.

"
519,"Strongest, sturdiest tubular folding stand weve seen anywhere! Made to exacting specs with soft black neoprene rubber tubing to protect your guitar. Folds up for easy transport. Not for nitrocellulose-finish guitars.

"
520,"Holds your music in just the right spot. The ultralight Up-Stage fluted plastic clip-on music stand clamps onto stands, guitars, and many other instruments. Clips pages securely at any angle. The music stand's ball knuckle tilts and rotates, so you can get get your music precisely where you want it. Fit the Up-Stage stand into your music bag or binder for easy portability. Perfect for students, open mics, and traveling.

"
521,"Don’t let a dead battery in your pedalboard ruin your next performance. Rely on the consistent, battery-free direct power of a D’Addario Accessories (formerly Planet Waves) AC-DC 9-Volt Power Adapter. The tip-negative, sleeve-positive power supply can deliver 500mA to fuel even your most power-hungry devices. The 9V adapter will minimize or eliminate the need to change batteries and give you confidence that your pedalboard is ready to go every time. The 72” cord length adapter converts AC wall power to 9-Volt DC for powering most instrument pedals, including the Planet Waves Chromatic Pedal Tuner, and other 9-volt battery electronic devices. The D'Addario adapter can also be used to power tip-negative keyboards. Its input is 100-240VAC, output is 9VDC, 500mA; barrel size 2.1mm; and available in NEMA, F plug and G plug types. For over 20 years, D’Addario has been leading the industry in innovative and problem-solving products that serve musicians worldwide. D’Addario Accessories are proudly made in a state-of-the-art manufacturing facility to the most stringent quality controls in the industry. The D’Addario family’s heart, soul and love for making music is put into every accessory we create, and we never stop inspiring performance.

"
522,"The Ernie Ball PowerPeg is the first of its kind self-contained motorized pegwinder that allows you to restring your instrument up to 70% faster than traditional manual pegwinders! The PowerPeg is powered by 4 AA batteries (not included) featuring a proprietary universal peg head that fits virtually all bass, acoustic, and electric guitar tuning machines! Part number 4118.

"
523,"Made from nickel plated steel. Complete 360 degree secure connection. Robust mechanics providing maximum durability. Set of 2. Pilot hole: 7/64"" diameter, 1 1/2"" deep. Part number 4600.

"
524,"Whether you are in the recording studio, at a performing arts center, or in a multipurpose room, the best performance demands the best equipment. The Duet2 LED Music Light enhances one of our most popular models with features that benefit orchestras, bands, and any performers who play under controlled lighting. Two separate flexible goosenecks are outfitted with two LEDs each, providing up to four possible light levels. Offering twice the intensity of the Duet, the Duet2 brightens two to three pages of sheet music. Tap-on power buttons make it easier for musicians to prep quickly for performances. This professional grade music stand light is ideal for those who leave nothing to chance; use the optional AC adapter to keep the music coming, encore after encore.

"
525,"The new AT2020 USB offers studio-quality articulation and intelligibility. It plugs right into your computer’s USB port, and functions seamlessly with your favorite recording software. Equipped with a USB digital output, the AT2020 USB is perfect for home studio recording, field recording, podcasting, and voiceover use. Based on the renowned AT2020 The AT2020 USB is based on the design of Audio-Technica’s critically acclaimed AT2020 cardioid condenser microphone. Like the AT2020, it features a low-mass diaphragm, custom-engineered for extended frequency response and superior transient response. With low self-noise, the AT2020 USB is perfectly suited for sophisticated digital recording equipment. Audio-Technica’s state-of-the-art design and manufacturing techniques ensure that the microphone complies with the company’s renowned consistency and reliability standards. Experience AT2020 USB. Plug it in and transform your sound.

Audio-Technica AT2020USB Condenser Microphone, Cardioid

"
526,"Blasters series snare wires are professional quality snares developed for high volume, high intensity drumming. They feature specially formulated, premium-grade steel-alloy wires on angled, copper-colored end clips. The exclusive bent end clips create greater snare wire contact across the entire surface of the drum head; offering increased activity, consistency, response and projection.



Designed for 14"" snare drums, the Blaster Series snare wires feature 20-strands of medium-gauge wire, allowing for an increased snare presence.

Blasters Series snare wires are professional quality snares developed for high volume, high intensity drumming. They feature specially formulated, premium-grade steel-alloy wires on angled, copper-colored end clips. The exclusive bent end clips create greater snare wire contact across the entire surface of the drum head, offering increased activity, consistency, response and projection.

PureSound offers a wide variety of professional quality snare wires including a selection of vintage wires designed specifically for older snare drums with unique snare mechanisms. PureSound snare wires are designed, engineered and manufactured in the USA to the most stringent quality controls in the industry.



"
527,"Standard Guitar Neck Plate. Genuine Fender 4-hole chrome neckplate with a tilt adjustment hole. The neck plate features ""Fender Corona, California"" engraved. Includes 4 mounting screws. Fender part: 099-1445-100

"
528,"Clean / Overdrive channel 4"" Orange designed speaker Volume & tone controls Integrated guitar tuner Headphone output Metal chassis / wood case 9 volt powered

"
529,"

The HardWire CM-2 Tube Overdrive adds a new dimension to your tone. Overdrive should be transparent and responsive to your touch and the CM-2 Tube Overdrive offers this with two modes of operation: Classic and Modified. Classic is transparent and articulate while Modified adds more gain and a ""bigger"" low end. As with all HardWire pedals, the CM-2 is crafted from premium all-metal components to perform night after night, tour after tour.

Extreme Performance Pedals represent the HardWire commitment to quality and attention to subtle details. In addition to technical enhancements like true bypass and high voltage operation, all HardWire pedals feature rugged, all-metal construction; a wide, stage-stable footprint; durable, custom-machined metal knobs for a sure grip; and precision potentiometers that guarantee knob positions will stay intact. HardWire reflects an unprecedented level of craftsmanship that we are proud to introduce into the world of effects pedals.

The HardWire CM-2 Tube Overdrive adds a new dimension to your tone. Overdrive should be transparent and responsive to your touch and the CM-2 Tube Overdrive offers this with two modes of operation: Classic and Modified. Classic is transparent and articulate while Modified adds more gain and a ""bigger"" low end. As with all HardWire pedals, the CM-2 is crafted from premium all-metal components to perform night after night, tour after tour.

This unique new device fits snugly over HardWire knobs to protect your finely-tuned settings from the drops, bumps and kicks that inevitably take place when you and your pedal perform.

Your guitar and amp are the foundation of your tone. You need to make sure that when you add any pedal to your signal chain it’s not creating undesirable noise or coloring the unique character of your tone. In a true bypass pedal, the signal passes straight through the box when the effect is bypassed.

Fumbling on a dimly-lit stage for the right pedal is a thing of the past with this indispensable asset—now your HardWire pedal will be clearly in sight from dusk till dawn.

Battery-powered effects typically perform their best with a fresh battery. As the voltage of the battery decreases, effects can become gritty and distorted. With HardWire pedals, the same circuitry that boosts the voltage also keeps it constant throughout the life of the battery.

All HardWire pedals include both die cut a velcro mounting pad for mounting on a pedalboard and an anti-skid pad for use on the floor. The soft durometer anti-skid pad with high visco-elasticity and a unique tread design ensures a firm grip to any stage.

With the high-output pickups found on some electric guitars, it’s not unusual to hear clipping when playing through an effects pedal. This occurs when the voltage range produced by a guitar’s pickup is greater than the operating voltage of the effects pedal – normally limited to the voltage supplied by the pedal’s battery or power supply. HardWire pedals incorporate special circuitry that increases the operating voltage “headroom” above that of the typical pedal. As such, HardWire pedals benefit a wider range of guitars and are also at home in an amplifier’s effects loop.



"
530,"Never knock a drink onto your gear Or kick it over on the floor again. This clamp-on drink holder keeps your drink safe and within easy reach while you perform. The attachment piece fits most standard mic stands and booms. The interior is lined with neoprene rubber to keep your drinks hot/cold and will also prevent condensation from dripping on your equipment.

Never knock a drink onto your gear or kick it over on the floor again. This Clamp-On Drink Holder keeps your drink safe and within easy reach while you perform. The attachment piece fits most standard mic stands and booms. The interior is lined with Neoprene rubber to keep your drinks hot/cold and will also prevent condensation from dripping on your equipment.

"
531,"Guitar Wheel Music Theory Educational Tool

"
532,"Heavy duty chromatic tuner

"
533,"The Musicians Gear Double Pop Filter is a pro-level split screen pop blocker that removes unwanted ""P"" and ""B"" consonant plosives by providing open space between the two screens. The first screen diffuses the air that causes plosive consonants, the open space between the screens disperses air pressure, and the pop filters second screen disperses the air and removes any remaining plosive consonants. The Musicians Gear Double Pop Filter features a sophisticated design that removes any air pressure and is very effective in filtering wind-caused plosives.

"
534,"The DJ bank quickly and easily adds color to any party. This compact strip light features 4 pods of LEDs that chase to the beat of the music. A New 'all-on' Switch also allows you to turn all four Pods on at once to wash the room.

"
535,"Restore your contemporary Fender amp’s footswitch functionality with a genuine replacement Fender footswitch.

"
536,"Lanikai has the most popular and affordable models with that sweet Lanikai sound! This is where it all begins classic designs and beautiful wood with attention to detail. All these at a price that will make you smile. Case not included.

"
537,"Piano-style pedal with built-in 6' cord and polarity switch. Compatible with any electronic keyboard with ¼ input jack. A full size piano-style pedal that is perfect when you need a sturdy and responsive control over sustain! This high-quality pedal features a polarity switch making it compatible with virtually any keyboard. The heavy-duty spring allows for better control and durability. Compatible with any electronic keyboard with a ¼ sustain jack, including Yamaha, Casio, Korg, Roland and MORE! Specifications: Color: Black Powder Coat Finish Cord Length: 6' Connector: ¼ Foot Pedal: Chrome with removable scratch resistant protective cover, also doubles as a non-slip grip

"
538,"The Icicle is Blue's new stylish USB converter and mic preamp combo that allows you to connect any XLR microphone directly into your computer via USB. The Icicle features a studio quality microphone preamp, 48V phantom power, fully balanced low noise front end, analog gain control, and driverless operation.

Connect any XLR microphone directly into your computer via USB. Click to enlarge.

Use with dynamic and condenser mics thanks to 48V phantom power.



Make Any Mic a USB Mic
The Icicle works with both dynamic and condenser microphones, providing high quality and hassle-free connectivity with Mac or PC. Whether you're using a microphone for digital recording, podcasting, voice messaging, or voice recognition applications, the Icicle is the quick and easy way to get connected.

Plug and Record
Simply plug in the USB cable and your mic will be live--no special driver installation is required.

Quality and Simplicity
The Icicle features a built-in, studio-quality mic preamp, along with a fully balanced, low-noise analog front end to send a clear signal via USB.

It also supplies 48V Phantom Power for condenser mics.

On the control front, the Icicle keeps it simple, with a single analog volume level control.

What's in the Box
Blue Icicle, 6-foot USB Cable



The Icicle is Blue’s new stylish USB converter and mic preamp combo that allows you to connect any XLR microphone directly into your computer via USB! The Icicle features a studio quality microphone preamp, 48V phantom power, fully balanced low noise front end, analog gain control, and driverless operation. Setup is a snap!

The Icicle works with both dynamic and condenser microphones, providing high quality and hassle-free connectivity with Mac or PC. Whether you’re using a microphone for digital recording, podcasting, voice messaging, or voice recognition applications, the Icicle is the quick and easy way to get connected.



"
539,"Protect your new investment! The stylish 4550 Series guitar bags are made from a durable nylon material and the series includes a bag to fit either electric, acoustic, classical or bass guitars. Features include rugged 600-d nylon material which repels rain and is easy to clean, interior liner, Heavy-duty 2-pull zipper and a front zip pocket to carry pics or replacement strings. Use either the two carrying handles or the removable padded backpack-style straps to carry your guitar with ease!.

"
540,"Introducing new hardshell instrument cases where good looks and rugged value collide head-onA'making them hands down the most durable and affordable hardshell cases on the market today! Each Carrion case was designed to withstand the rigors of the road with combined features that make one tough case that not only protects your investment, but is a Good Investment!



The most affordable wood hardshell case on the market today!

Introducing new hardshell instrument cases where good looks and rugged value collide head-on-making them hands down the most durable and affordable hardshell cases on the market today!

Take a look at the multi-ply outer shell covered in durable black tolex, heavy-duty stitching, durable chrome-plated hinges and latches, and a generously padded black plush interior with a large storage compartment.

Clearly, each Carrion case was designed to withstand the rigors of the road with combined features that make one tough case that not only protects your investment, but is a Good Investment!

The superbly-made, top-quality Carrion hardshell cases are some of the finest cases on the market. Each hardshell case is designed to give years of protection to your instrument and is properly sized to afford maximum protection. Construction details include multi-ply wood frame with plush-lined, thickly-padded interior, durable tolex exterior, and top-quality hardware.

For more than 35 years, Saga Musical Instruments has steadily grown to be a global pioneer in the successful development, marketing and distribution of high-quality traditional American and European-designed student and professional acoustic musical instruments. We continue to set quality and value standards every day. In order to achieve such high standards, we travel the world in search of skilled manufacturing sources, and the finest raw materials available to achieve our unwavering quality requirements and supply demands.

When you purchase a product from Saga Musical Instruments, you can rest assured that it is from the source, and that it will exceed your every expectation. Let Saga® be your Source!



"
541,"Precisely machined of brass, then nickel-plated , the Shubb Original Acoustic Guitar Capo is manufactured without compromise. Simply holding one in your hand conveys a sense of quality. Snapping it solidly onto a guitar neck, and then removing it, all within about one second, will confirm its reputation for excellence. Its soft, resilient rubber is specially designed to work just like a fingertip, so it doesn't bend the strings over the frets. Its closing action is just like your hand, so it doesn't pull the string off center. As a result, no re-tuning is necessary!

"
542,"Set of 4, pop-out socket mount. 2"" diameter x 7/8"" Ruberex wheel split level. Maximum recommended weight is 70 lbs per caster. Part number 6102.

"
543,"The String Cleaner by Tone Gear extends the life and preserves the tone of guitar strings. It removes harmful substances like sweat and oils, and keeps strings strong. The revolutionary design allows for 360 degrees of cleaning power. It features specially designed string cleaning microfiber pads, which are cleanable. It can simply and quickly be cleaned with running water and a drop of liquid soap. The String Cleaner requires no solution, and features fret ramps so there is no possibility of it damaging frets. It saves the musician money due to dramatically decreasing the need to change strings. ""Best in Show"" Summer NAMM 2008!

The String Cleaner for guitar extends the life and preserves the tone of guitar strings. It removes harmful substances like sweat and oils, and keeps strings strong. The revolutionary design allows for 360 degrees of cleaning power. It features specially designed string cleaning microfiber pads, which are cleanable, so this and is not a disposable item. It can simply and quickly be cleaned with running water and a drop of liquid soap. The String Cleaner requires no solution, and features fret ramps so there is no possibility of it damaging frets. It saves the musician money due to dramatically decreasing the need to change strings. ""Best in Show"" Summer NAMM 2008! - MAde in the USA! One of the best guitar accessories!

"
544,"Pedalboard for guitar products with carrying case

For folks who want a board the size of the PT-2 but have no need for a flight case. This model comes with a tough cordura nylon gig bag with highly protective panels incorporated into the top and bottom of the case to keep those valuable pedals safe (pedals are not included.)

Pedaltrain is the premier innovation in guitar effects pedalboards. Our award winning and patented design has been road tested, approved, and is currently in use by many of today's top guitarists. Professional tour grade pedalboards and cases at prices everyone can afford.

Construction
These revolutionary pedalboards are made of welded aluminum alloy tubing to ensure that every PEDALTRAIN is as strong and lightweight as possible. There are no moving parts to loosen or wear out. A durable powder coat finish ensures your PEDALTRAIN will look great and last a lifetime.

Versatile Design
Our unique, open frame, elevated angle design provides added flexibility when configuring the layout of the effects. Your connecting cables can be neatly routed over, under, and through the open slots in the top surface area of the PEDALTRAIN to keep the risk of possible accidental disconnection to a minimum. Pedals may be added, removed, rearranged, or bypassed quickly and easily. All three PEDALTRAIN models include plenty of industrial grade, adhesive backed, hook and loop material, along with detailed instructions to make setup fast and efficient. You can easily and securely mount virtually any effects pedal, volume or wah pedal, or other device, such as a pedal power supply, channel switcher, power strip, direct box, or wireless receiver.

All new PEDALTRAIN models (excluding PT-MINI) now include specially designed brackets and instructions for mounting the popular Voodoo Lab Pedal Power 2 power supply underneath the pedalboard with no cutting modifications necessary. As always, you can still use any power supply of your choice with the PEDALTRAIN. For the player who needs a large pedalboard without the extra bulk (or expense) of a flight case. A heavy duty cordura nylon gig bag is included with solid panels sewn inside the walls for added strength, plus a large and roomy gusseted pouch on the exterior.

Pedaltrain is the premier innovation in guitar effects pedalboards. Our award winning and patented design has been road tested, approved, and is currently in use by many of today's top guitarists. Professional tour grade pedalboards and cases at prices everyone can afford.

Construction
These revolutionary pedalboards are made of welded aluminum alloy tubing to ensure that every PEDALTRAIN is as strong and lightweight as possible. There are no moving parts to loosen or wear out. A durable powder coat finish ensures your PEDALTRAIN will look great and last a lifetime.

Versatile Design
Our unique, open frame, elevated angle design provides added flexibility when configuring the layout of the effects. Your connecting cables can be neatly routed over, under, and through the open slots in the top surface area of the PEDALTRAIN to keep the risk of possible accidental disconnection to a minimum. Pedals may be added, removed, rearranged, or bypassed quickly and easily. All three PEDALTRAIN models include plenty of industrial grade, adhesive backed, hook and loop material, along with detailed instructions to make setup fast and efficient. You can easily and securely mount virtually any effects pedal, volume or wah pedal, or other device, such as a pedal power supply, channel switcher, power strip, direct box, or wireless receiver.

All new PEDALTRAIN models (excluding PT-MINI) now include specially designed brackets and instructions for mounting the popular Voodoo Lab Pedal Power 2 power supply underneath the pedalboard with no cutting modifications necessary. As always, you can still use any power supply of your choice with the PEDALTRAIN.



Frequently Asked Questions
1. Where's the power supply?
The power supply question is a good one, and it is the reason that the pedaltrain will always be available non-powered. There are as many ideas about what's the best way to power up your effects as there are guitar players. The best power supplies currently available do not come with a pedalboard. All the units described below work great with the pedaltrain, and until we make our own that will do everything, for everyone, at a price anyone can afford we will continue to recommend the following:



There are many others out there but these are units we've had actual experiences with. All have different features and prices so take your time and pick the one that suits your needs and not necessarily what someone says is the ""best"".

2. Can I mount a power supply underneath?
Yes, all new Pedaltrain models (excluding PT-MINI) will accommodate most any power supply available underneath with little or no modifications necessary.

3. What is the best order to put my effects in?
This is a huge question. We do have a few suggestions but ultimately it depends on how your particular collection of pedals all interact with each other. In our experience there are no formulas that haven't been disproved a time or two. Our philosophy is simple: Effects pedals are like children, some of them get along fine sitting next to each other and some do not. Any one of them may potentially be the problem child that disrupts the whole classroom if not put in the right place. The best way to start would be to lay all of the pedals out on the floor and first do a straight line patching of them together and powering them up with what you intend to use for power on your pedalboard. Then play, stomp, and listen. Don't be in a rush, the time you invest will pay off in satisfying tone. We've seen people insist on a certain order because someone told them ""this is how it's done"" only to have their tone suffer needlessly. Nothing will substitute blocking out a few hours of jockeying them all around in the chain to find the most quiet and tone pleasing order before you ever mount them to a pedalboard. Then write everything down! Keep in mind that you selection of pedals is unique to only you and what works great for one person may be horrible for the next.

Once you have everything all running as clean and quiet as possible then you can start to mount them. Occasionally you may need to mount them in an order that suits you foot stomping order than in signal path order. If that is the case you simply patch them together in the order they need to be, but mount them where it is the most comfortable. Are you confused yet? I hope not, good luck!

4. Does everything stay mounted on the pedaltrain while inside the case?
Yes, the pedaltrain case is designed with ample interior room to hold the fully loaded pedaltrain. You should not have to remove anything during storage or transport. Everything fits nicely and will be in place when you get to the gig. There is a 2.5 inch thick layer of egg crate type foam in the lid to conform to the shape and height of your set up.

5. Does the Velcro really hold the pedals in position while being transported?
Yes, and for a few reasons. One is that with the open frame design you will have at least two attachment points for each pedals and two separate velcro connections. This actually holds things in place much better than if it was one big surface area with one wide strip. Also we are very picky when it comes to velcro and we use the best and stickiest stuff you can get. Folks keep asking us to just sell velcro to them.

With the hard cases another feature is that helps keep things in place is that we actually leave a little bit of room around the board inside the case to absorb some of the shock if your case has a rough ride in a truck or bus. When a pedalboard is built rigidly into a case (as many are) they do not consider the fact that the shock has to go somewhere and it usually means pedals coming loose from the board. This took me years of frustration to figure out I was looking at the wrong thing as being the problem. We also have a thick 2 inch layer of eggcrate foam in the lid that conforms to the shape of all your pedals and helps keep things firmly in place too.

6. My Pedaltrain case has too much space around the board, why?
In the flight cases of the Pedaltrain/JR and Pedaltrain/2 we added extra space to allow you to carry other things inside along with a fully loaded pedaltrain. Many folks who use large volume and wah pedals actually prefer to use them flat on the floor next to their pedaltrain and just patch them into their signal path with a small patch cable. So we have enough space to lay them inside the case too. You will also have room for all your cables, cords, tool bag, boxes of strings, dirty socks, etc...

The amount of extra width space is by design and serves a purpose. One of the main problems with pedalboards that are built into a case, or one with a tightly fitting board, is that when the case takes a hit or is dropped during transport, whatever is mounted to that case or board (your pedals) is what receives the force of that shock. This is the primary reason that pedals come disconnected from boards during transport. The pedaltrain case affords the pedalboard frame the ability to move inside the case to act as a shock absorber. This may sound crazy but it actually works.

We guarantee that if you choose a pedaltrain, and ever open the case to find your pedals have come off the board, we will buy back your pedaltrain at your purchase price. We're proud to state that in 9 years no one has taken us up on this offer.

7. What should I do about rubber feet or pads on the bottom of my pedals?
Take them off. To insure proper adhesion of the velcro to the bottom of your pedals it is best to stick the velcro directly to the metal bottom. It's OK if it's painted, but you will need to get any old adhesive residue off before applying the velcro to a clean and dry surface. This is especially true of Boss and Line6 brand pedals. Those rubber pads will require some effort to get off, but the end result is well worth it. Also, if your pedal board is exposed to extreme heat (like a car trunk in August) the adhesive compound on the velcro breaks down and rejects the bond if it's applied to a rubber pad.

For pedals with rubber feet that actually hold on the bottom plate of the effect, such as a Crybaby wah, You will need to remove the rubber feet and reinstall the screws. On some the housings on pedals of this type the holes will be tapped deep enough to do this. If the original screws will not go all the way in you'll need to go down to the hardware store and get some shorter screws of the same thread type to hold your plate on. If all this makes you stomach hurt just thinking about it, a company called Stompin-Ground sells a flat mounting plate to fit most popular wah pedals for $19.00 with velcro already attached. Check it out. http://stompin-ground.com/products/sgwahplate.htm

8. What if I need to get some more velcro?
We do keep a limited supply on hand available for Pedaltrain owners. Please contact us for details.

9. What is the Pedaltrain warranty?
All Pedaltrain products carry a lifetime warranty against defects in materials and workmanship. This warranty does not cover incidental or consequential damage to persons or property caused by use, abuse, misuse, or improper storage or transport of the unit.

This warranty shall not apply to any goods that have been altered or modified by anyone other than ProStageGear. This warranty is valid to the original purchase only and not transferable.



"
545,"

Digital Stereo Reverb Effects Pedal

You wouldn't think of using anything less than best reverb you could get in the studio. So why skimp on the 'verb at your live gig? Now you can add studio-grade reverb to any amp with the mind-blowing DIGITAL REVERB DR600.

This 24-bit, high-resolution collection packs six (6) of the most desired reverb types - SPRING, PLATE, HALL, ROOM, GATE and MODULATE, into the ultimate ""to-go"" package. With its dual output jacks, you will dazzle your audience with true stereo reverb.

Just select the reverb type with the MODE control, and then dial in the LEVEL, TONE and TIME. It just doesn't get any easier than this. The blue LED tells you when the DR600 is activated, and the top-quality on/off switch maintains incredible signal integrity when in bypass mode. You can power the DR600 with a 9 V battery or our PSU-SB DC power supply (not included).

The DIGITAL REVERB DR600 brings six of the most-wanted reverbs to a stomp box right at your feet, at an unbelievably low price. Now studio-grade reverb is just a toe-tap away - with the BEHRINGER DR600.



"
546,"Plugs directly into your guitar 100% analog circuit faithfully simulates the response of the original amps Lead delivers hi-gain lead guitar sounds, plus a digital delay effect Up to 15 hours of battery life with two Alkaline AAA batteries AUX in jack lets you jam along with your CD/MP3 player

"
547,"The amPlug series received wide-ranging acclaim from guitarists around the world for delivering incredible guitar tone in a pocket-sized unit. Bass is modeled on VOX apos;s classic AC100 bass amp, and expands its potential with a full-range tone that supports today's bass sounds. A compressor/boost effect provides not just compression but also a thick overdrive sound, giving you the perfect tones for performing in any style. Careful attention has been paid to the sound quality, and a high-quality FET buffer circuit has been used to obtain even greater dynamic range.Order your VOX amPlug Bass Guitar Headphone Amplifier from Sam Ash Direct today with the security of our 45/60 day return/price protection policy, and be sure to take advantage of our fast, free shipping.

"
548,"Attach this innovative adapter to any 5/8"" threaded microphone stand to support a video camera or digital recorder (Marantz PMD620, Zoom H2, H4 and the Edirol R09 and more) with standard 1/4"" threaded female inserts. Great for musicians who seek to upload videos of their band on YouTube, or prefer to use their own professional microphone stand for digital recorder use. This universal adapter also holds document cameras for classroom applications. Add the MY550 On-Stage Stands Mic Extension Bar for stereo and video recording on one mic stand.

Now every band with a video camera and mic stand can create professional videos of their live performances! Attach this innovative adapter to any 5/8"" 27-threaded mic stand/boom to support a video camera or digital recorder with standard 1/4"" threaded female inserts. Can also be used for conference/presentation recording, school play/concert recording, or even with a classroom projector. The adapter's ball-head allows for independent pan and tilt with 360 degree pan movement and 180 degree tilt.

"
549,"Using the standard 351 size pick, Everly added a star shaped cutout where your thumb and finger meet, for the perfect no-slip grip. No weird shapes, leashes or sticky goo from planet xoltar. Just a slight evolution to meet the needs of today's musician. Star picks are available in the six most popular gauges, from feather light to rock solid. Using the standard 351 size pick, Everly added a star shaped cutout where your thumb and finger meet, for the perfect no-slip grip. No weird shapes, leashes or sticky goo from planet xoltar. Just a slight evolution to meet the needs of today's musician. Star picks are available in the six most popular gauges, from feather light to rock solid.

"
550,"We're pretty sure the Dunlop NC65 Maintenance Station Neck Cradle is a better solution for working on your guitar. Better than, say, that towel you roll up and stuff under the headstock to support the neck. The Dunlop NC65 Maintenance Station Neck Cradle is made to perfectly support your guitar's neck, whether you need to support the back of the neck or the front. From changing strings to upgrading your electronics, you'll find it easier than ever to work on your guitar when you're supporting it with the Dunlop NC65 Maintenance Station Neck Cradle.

"
